MIN=0	-0.1	-30
MAX=1.13137084989848	0.1	30
SCALE=0.1	0.05	10
DEC=3	4	2
DEF="Time" t / s	"Current" I_A1 / A	"Voltage" U_B1 / V
0	0	0
0.001	0	0.015
0.002	0	0
0.003	-5E-05	0.015
0.004	0	0
0.005	0	0
0.006	-5E-05	0.015
0.007	0	0
0.008	-5E-05	0
0.009	-5E-05	-0.015
0.01	0	0.015
0.011	0	0
0.012	-5E-05	0.015
0.013	0	0
0.014	0	0.015
0.015	0	0
0.016	0	0
0.017	0	0
0.018	0	0
0.019	0	0.015
0.02	0	0
0.021	0	0
0.022	-5E-05	0
0.023	0	0
0.024	0	0.015
0.025	-5E-05	0.015
0.026	-5E-05	0.015
0.027	0	0.015
0.028	0	0
0.029	-5E-05	0.015
0.03	0	0
0.031	0	0
0.032	0	0
0.033	0	0
0.034	-5E-05	0
0.035	-5E-05	0
0.036	0	0
0.037	0	0
0.038	0	0
0.039	-5E-05	0
0.04	-5E-05	0
0.041	-5E-05	0.015
0.042	0	0
0.043	0	-0.015
0.044	0	0
0.045	0	0
0.046	0	0
0.047	0	0
0.048	0	0
0.049	-5E-05	0
0.05	0	0
0.051	-5E-05	0
0.052	0	0
0.053	0	0
0.054	0	0
0.055	-5E-05	0
0.056	0	-0.015
0.057	-5E-05	0
0.058	-5E-05	-0.015
0.059	-5E-05	0
0.06	0	0.015
0.061	0	-0.015
0.062	-5E-05	0
0.063	0	0
0.064	0	0
0.065	-5E-05	0
0.066	0	0
0.067	-5E-05	0
0.068	0	0.015
0.069	-5E-05	-0.015
0.07	0	0
0.071	-5E-05	0
0.072	0	0
0.073	0	0
0.074	0	0
0.075	0	0
0.076	-5E-05	0.015
0.077	-5E-05	-0.015
0.078	-5E-05	0
0.079	0	0
0.08	0	0
0.081	0	0.015
0.082	0	0
0.083	0	0
0.084	0	0
0.085	0	0.015
0.086	-5E-05	0.015
0.087	0	0
0.088	0	0.015
0.089	-5E-05	0
0.09	-5E-05	0
0.091	0	0
0.092	-5E-05	0
0.093	-5E-05	0.015
0.094	0	0
0.095	0	-0.015
0.096	0	0
0.097	0	0
0.098	0	0
0.099	0	0
0.1	0	0
0.101	0	0
0.102	-5E-05	0.015
0.103	-5E-05	0
0.104	-5E-05	0.015
0.105	-5E-05	0
0.106	0	0
0.107	0	0
0.108	0	0
0.109	0	0.015
0.11	-5E-05	0
0.111	-5E-05	0
0.112	-5E-05	0
0.113	0	0
0.114	0	0
0.115	0	0
0.116	-5E-05	0.015
0.117	0	0.015
0.118	0	0
0.119	0	0
0.12	0	0
0.121	-5E-05	0
0.122	-5E-05	0
0.123	0	0.015
0.124	-5E-05	0.015
0.125	0	0
0.126	0	-0.015
0.127	0	0
0.128	-5E-05	0
0.129	0	0.015
0.13	-5E-05	0
0.131	-5E-05	0
0.132	0	0.015
0.133	0	0
0.134	0	0
0.135	0	0
0.136	0	0
0.137	-5E-05	0.015
0.138	-5E-05	0
0.139	-5E-05	0
0.14	0	0.015
0.141	0	0
0.142	-5E-05	0
0.143	0	0
0.144	0	0
0.145	0	0.015
0.146	0	0
0.147	0	0.03
0.148	0	0
0.149	0	0
0.15	0	0
0.151	0	0.015
0.152	-5E-05	0.015
0.153	0	0
0.154	0	-0.015
0.155	0	0
0.156	0	0
0.157	-5E-05	0
0.158	0	0.015
0.159	0	0
0.16	0	0.015
0.161	0	0.015
0.162	0	0
0.163	0	0
0.164	0	0
0.165	0	0.015
0.166	-5E-05	0.015
0.167	0	0
0.168	0	0.015
0.169	0	0
0.17	-5E-05	0
0.171	0	0
0.172	0	0
0.173	0	0.015
0.174	-5E-05	0.015
0.175	-5E-05	0
0.176	0	0
0.177	0	0
0.178	0	0.015
0.179	0	0
0.18	0	0.015
0.181	-5E-05	0.015
0.182	0	0
0.183	-5E-05	0.015
0.184	-5E-05	0
0.185	0	0
0.186	0	0
0.187	-5E-05	0.015
0.188	0	0.015
0.189	0	0
0.19	0	0
0.191	-5E-05	0.015
0.192	0	0.015
0.193	-5E-05	0
0.194	0	0.03
0.195	0	0
0.196	0	0.015
0.197	0	0.015
0.198	0	0
0.199	0	0
0.2	0	0
0.201	-5E-05	0.015
0.202	-5E-05	0.015
0.203	0	0
0.204	0	0
0.205	0	0
0.206	0	0.015
0.207	0	0
0.208	-5E-05	-0.015
0.209	-5E-05	0.015
0.21	-5E-05	0
0.211	-5E-05	0
0.212	0	0
