MIN=0	-0.1	-30
MAX=2.26274169979695	0.1	30
SCALE=0.1	0.05	10
DEC=3	4	2
DEF="Time" t / s	"Current" I_A1 / A	"Voltage" U_B1 / V
0	-5E-05	0
0.001	-5E-05	0
0.002	0	0
0.003	0	0
0.004	-5E-05	0
0.005	0	0
0.006	0	0
0.007	0	0.015
0.008	0	0
0.009	-5E-05	0.015
0.01	0	0
0.011	0	0
0.012	-5E-05	0.015
0.013	-5E-05	0
0.014	0	0
0.015	0	0
0.016	0	0
0.017	0	0.015
0.018	-5E-05	0.015
0.019	-5E-05	0
0.02	0	0.015
0.021	0	0
0.022	0	0
0.023	-5E-05	0.015
0.024	0	0
0.025	0	0
0.026	0	0.015
0.027	0	0
0.028	-5E-05	0
0.029	-5E-05	0.015
0.03	0	0
0.031	0	-0.015
0.032	0	0
0.033	0	0
0.034	-5E-05	0.015
0.035	0	0
0.036	0	-0.015
0.037	0	0
0.038	-5E-05	0.015
0.039	-5E-05	0
0.04	0	0
0.041	0	0
0.042	0	0
0.043	-5E-05	0.015
0.044	0	0
0.045	0	-0.015
0.046	0	0
0.047	-5E-05	0
0.048	0	-0.015
0.049	0	0
0.05	0	-0.015
0.051	0	-0.015
0.052	-5E-05	0
0.053	0	0
0.054	0	-0.015
0.055	-5E-05	0
0.056	0	0
0.057	-5E-05	0
0.058	0	0
0.059	0	0
0.06	-5E-05	0
0.061	-5E-05	0.015
0.062	0	-0.015
0.063	0	-0.015
0.064	0	0
0.065	0	0
0.066	0	0
0.067	-5E-05	0
0.068	0	-0.015
0.069	-5E-05	0
0.07	-5E-05	0
0.071	0	-0.015
0.072	-5E-05	0
0.073	-5E-05	-0.015
0.074	0	-0.015
0.075	-5E-05	0
0.076	0	0
0.077	0	-0.015
0.078	0	0
0.079	0	-0.015
0.08	-5E-05	0
0.081	0	0
0.082	-5E-05	-0.015
0.083	0	0
0.084	0	0.015
0.085	-5E-05	0
0.086	0	0
0.087	0	0
0.088	0	0
0.089	-5E-05	0
0.09	-5E-05	0.015
0.091	-5E-05	-0.015
0.092	0	0
0.093	-5E-05	0
0.094	-5E-05	0
0.095	0	0
0.096	-5E-05	0
0.097	0	0
0.098	-5E-05	0
0.099	-5E-05	0
0.1	0	-0.015
0.101	0	0.015
0.102	0	0.015
0.103	-5E-05	0
0.104	0	0
0.105	0	0
0.106	-5E-05	0.03
0.107	0	0.015
0.108	-5E-05	0
0.109	0	0
0.11	5E-05	0.015
0.111	0	0.015
0.112	0	0.015
