MIN=0	-0.1	-30
MAX=1.6	0.1	30
SCALE=0.1	0.05	10
DEC=3	4	2
DEF="Time" t / s	"Current" I_A1 / A	"Voltage" U_B1 / V
0	0	-0.015
0.001	-5E-05	0.015
0.002	-5E-05	0
0.003	-5E-05	0
0.004	0	0
0.005	0	0
0.006	-5E-05	0
0.007	0	0
0.008	0	0
0.009	0	0.015
0.01	-5E-05	-0.015
0.011	0	0
0.012	0	0.015
0.013	0	0
0.014	0	0.015
0.015	-5E-05	0
0.016	0	0
0.017	0	0.015
0.018	0	0
0.019	0	0
0.02	0	0.015
0.021	0	0
0.022	0	0
0.023	-5E-05	0.03
0.024	0	0
0.025	0	0
0.026	0	0
0.027	-5E-05	0.015
0.028	-5E-05	0.015
0.029	-5E-05	0
0.03	0	0
0.031	-5E-05	0
0.032	0	0
0.033	-5E-05	0.015
0.034	-5E-05	0
0.035	0	0
0.036	0	0
0.037	-5E-05	0
0.038	0	0
0.039	-5E-05	0.015
0.04	-5E-05	0
0.041	0	0.015
0.042	0	0
0.043	0	0
0.044	0	0
0.045	0	0
0.046	0	0.015
0.047	0	0
0.048	0	-0.015
0.049	0	0
0.05	-5E-05	0
0.051	0	0
0.052	-5E-05	0.015
0.053	0	0
0.054	0	0
0.055	0	0
0.056	0	0
0.057	0	0
0.058	-5E-05	0
0.059	0	0.015
0.06	0	0
0.061	0	-0.015
0.062	-5E-05	-0.015
0.063	0	0
0.064	0	0
0.065	-5E-05	0
0.066	0	0
0.067	0	0
0.068	0	0
0.069	-5E-05	-0.015
0.07	-5E-05	0
0.071	-5E-05	0.015
0.072	0	0
0.073	0	0.015
0.074	-5E-05	0
0.075	-5E-05	0
0.076	0	0
0.077	0	0
0.078	-5E-05	0
0.079	0	0
0.08	-5E-05	0
0.081	-5E-05	-0.015
0.082	0	0
0.083	-5E-05	0
0.084	-5E-05	0
0.085	0	0
0.086	-5E-05	0
0.087	0	0
0.088	0	0
0.089	-5E-05	0.015
0.09	-5E-05	0.015
0.091	0	0
0.092	0	0
0.093	0	0
0.094	0	0
0.095	-5E-05	0.015
0.096	0	0.015
0.097	-5E-05	0
0.098	0	0.015
0.099	0	0
